# Overall comparison (OLD vs NEW)
variable,label_he,n_old,mean_old,sd_old,n_new,mean_new,sd_new,diff_new_minus_old,pct_change,direction,t,df_welch,p_value,cohen_d
seq_typing_mean_run_explore,Mean reading-only streak,99,3.574494949494949,2.1135082822946245,136,3.3979779411764706,2.1047651932819886,-0.17651700831847839,-4.938236333035497,כמעט לא השתנה,0.6332749809091031,210.8146613368546,0.527240480389827,-0.0837189701860377
count_time,Switch count: time (>60s),101,2.400990099009901,1.259007152442348,138,2.402173913043478,1.3506671717893866,0.0011838140335771463,0.04930524428506878,כמעט לא השתנה,-0.006961970680942605,223.61061809861144,0.9944514030166635,0.0009017661368614708
count_topic,Switch count: topic (LDA),101,3.8415841584158414,2.1850980447903328,138,4.134057971014493,2.173614043756014,0.2924738125986517,7.613364709397892,עלה,-1.0244281461288571,214.98643359529157,0.3067843948598336,0.13425671035317127
count_typing,Switch count: typing/paste,101,1.9356435643564356,1.1015066189919915,138,2.028985507246377,1.1442782379822722,0.09334194288994135,4.8222691723192215,כמעט לא השתנה,-0.6365683243162554,220.11777265298164,0.5250674738387412,0.08286534223455537
PC1,PC1 (composite explore-exploit index),101,-3.95723058282234e-17,2.415667022807479,138,4.1190883232469576e-16,2.464754647881629,4.514811381529192e-16,-1140.901771336554,כמעט לא השתנה,-1.415040280552821e-15,218.0437922359639,0.9999999999999989,1.8471811202747344e-16

# Per-condition comparison (Diffuse vs Clumpy in each sample)
variable,label_he,n_diffuse_old,mean_diffuse_old,sd_diffuse_old,n_clumpy_old,mean_clumpy_old,sd_clumpy_old,diff_d_minus_c_old,t_d_vs_c_old,p_d_vs_c_old,cohen_d_d_vs_c_old,n_diffuse_new,mean_diffuse_new,sd_diffuse_new,n_clumpy_new,mean_clumpy_new,sd_clumpy_new,diff_d_minus_c_new,t_d_vs_c_new,p_d_vs_c_new,cohen_d_d_vs_c_new
seq_typing_mean_run_explore,Mean reading-only streak,52,3.2580128205128203,1.8453453496642305,47,3.924645390070922,2.3457491602313048,-0.6666325695581019,-1.5602045481845364,0.12233222994701431,-0.3178094212379128,65,3.2551282051282047,1.9388367321493638,71,3.528755868544601,2.251769493234046,-0.2736276634163963,-0.7611137057932363,0.44793135037962367,-0.12979750010241412
count_time,Switch count: time (>60s),52,2.394230769230769,1.3111009385976173,49,2.4081632653061225,1.2148108108353535,-0.013932496075353296,-0.05543142491282375,0.9559065047257377,-0.011010956275918367,65,2.376923076923077,1.3665386509774924,73,2.4246575342465753,1.3454430106761002,-0.04773445732349835,-0.20632170753009174,0.8368535904234498,-0.0352176924774171
count_topic,Switch count: topic (LDA),52,3.7596153846153846,2.063906406088223,49,3.9285714285714284,2.325134404717284,-0.1689560439560438,-0.3853377392700255,0.7008401033549789,-0.07699245508646717,65,4.023076923076923,2.0623688769508193,73,4.232876712328767,2.27773369300621,-0.20979978925184373,-0.5678444830080399,0.57107712911348,-0.09628089421615606
count_typing,Switch count: typing/paste,52,2.019230769230769,1.0934813018365075,49,1.846938775510204,1.1143200544159066,0.17229199372056514,0.7836697159419583,0.4351164444761138,0.15611333218143345,65,1.9923076923076923,1.0806982251517554,73,2.0616438356164384,1.2045780885376771,-0.06933614330874605,-0.35641618770158245,0.722081285215023,-0.06040006492248532
PC1,PC1 (composite explore-exploit index),52,-0.049697852954277345,2.335313288933492,49,0.05274057864535555,2.5213335179989205,-0.1024384315996329,-0.21148729244500417,0.8329498718496896,-0.04220286944472836,65,-0.11664563957560865,2.3800162111665104,73,0.10386255578650155,2.549724101686861,-0.2205081953621102,-0.5253146072040694,0.6002218686360243,-0.08922711630075879
