effect_size,measure,n,n_diffuse,n_clumpy,observed,ci_lo_2.5,ci_hi_97.5,p_empirical,n_boot,n_boot_valid
raw_cohen_d,seq_typing_mean_run_explore,99,52,47,-0.3178094212379128,-0.7140170480546684,0.07559578966715723,0.1182,10000,10000
adj_cohen_d,seq_typing_mean_run_explore,99,52,47,-0.43818733863659387,-0.9002900249811157,-0.016373068201129475,0.0442,10000,10000
