participant_id,domain,PC1,PC2,PC3
2,ecology,-0.8204002341099959,-0.11482522534033239,0.15593584045259262
9,ecology,0.1669298151751378,-0.28305927998984026,0.4332022766377212
12,ecology,0.25383641108698496,-0.4215359988132315,0.11184353328238264
17,ecology,0.07113255768636242,0.7344380792137537,0.09331698794263521
20,ecology,0.10536914539918082,-0.06690856001408865,-0.30222038476925583
29,ecology,0.3369501603695796,0.06389855133144104,-0.10597612195109089
35,ecology,0.2056439769463955,0.034335945564041424,0.019062826121413384
44,ecology,0.16681046570683222,-0.14005069422822838,-0.3583093650419817
46,ecology,-0.5845130990371534,-0.0412557464386772,-0.27874196123650363
50,ecology,0.2056439769463955,0.034335945564041424,0.019062826121413384
51,ecology,-0.10740317616971909,0.20062698315112143,0.21282354244067336
