measure,n_d,n_c,raw_d,raw_p,adj_d,adj_p,d_mean,c_mean,group,n_total
seq_typing_entropy,46,44,0.2785189564942699,0.1905495634741141,0.360247069725572,0.09716226260457717,0.7455315876384868,0.6667542618360321,all,90
seq_typing_max_run,46,44,-0.41630544712181333,0.05206100052777205,-0.47355136463566994,0.030146736065960855,4.0,4.909090909090909,all,90
first_writing_time_s,46,44,-0.12103285869179298,0.5674973329904502,-0.24301535147733508,0.26109345832109176,131.1268695652174,143.8726363636364,all,90
seq_typing_mean_run_explore,43,42,-0.3257540898183326,0.136958338063835,-0.3859216699744868,0.08441153696424175,3.1937984496124026,3.803571428571428,all,90
seq_topic_mean_run_exploit,46,44,-0.18983545579527933,0.3732387401431032,-0.24307031613011257,0.2609864024025157,1.809782608695652,2.035984848484848,all,90
seq_typing_entropy,16,19,-0.25718448030876023,0.4654143089130671,0.02911083347695377,0.9354817333634446,0.6382875784646418,0.6894239104389193,high_engagement,35
seq_typing_max_run,16,19,-0.25095139790513354,0.45875810135410017,-0.5608646128989514,0.12580177604710086,5.9375,6.526315789473684,high_engagement,35
first_writing_time_s,16,19,0.19170068717954608,0.590295856923131,0.028707063431742043,0.9363746046156591,142.83937500000002,122.30657894736841,high_engagement,35
seq_typing_mean_run_explore,16,19,-0.07902828744394313,0.8180842969656483,-0.35325237810055093,0.3295718117230333,4.34375,4.5131578947368425,high_engagement,35
seq_topic_mean_run_exploit,16,19,-0.4065432474463182,0.23949122232074893,-0.4314662398457587,0.23541747801760016,1.765625,2.223684210526316,high_engagement,35
seq_typing_entropy,30,25,0.4783684026475852,0.09035342969367909,0.49751301352100985,0.07352073162191863,0.8027283925312042,0.6495253288978381,low_engagement,55
seq_typing_max_run,30,25,-0.6795153047190968,0.01495362599879783,-0.6782597453523475,0.016006821406683303,2.966666666666667,3.68,low_engagement,55
first_writing_time_s,30,25,-0.3386981210649161,0.22798191537798868,-0.41681404435405484,0.1320241331300518,124.8802,160.26284,low_engagement,55
seq_typing_mean_run_explore,27,23,-0.5206514253802367,0.07582977929777678,-0.5149459253746805,0.07717697568453818,2.5123456790123453,3.217391304347826,low_engagement,55
seq_topic_mean_run_exploit,30,25,-0.04828828209866013,0.8639155392904266,-0.09291814149234179,0.7343853270761946,1.8333333333333333,1.8933333333333335,low_engagement,55
