participant_id,condition,n_visits,n_unique_topics,topic_concentration,topic_entropy,transition_entropy,same_topic_repeat_rate,style
1,diffuse,37,7,0.5135135135135135,0.625814807650845,0.1756124107677784,0.6666666666666666,hunter
2,diffuse,8,3,0.5,0.42313952080808903,0.10034333188799373,0.2857142857142857,hunter
4,clumpy,27,6,0.3333333333333333,0.6682474629917812,0.19805939377559967,0.6153846153846154,busybody
5,diffuse,11,7,0.2727272727272727,0.8018032536295968,0.08249494094395088,0.0,busybody
8,clumpy,27,8,0.6296296296296297,0.5897411109214117,0.1066529340086965,0.5384615384615384,hunter
10,diffuse,16,6,0.3125,0.708087873750994,0.17260176573541502,0.13333333333333333,busybody
11,diffuse,8,5,0.375,0.6489120175560749,0.14436614665191405,0.42857142857142855,busybody
13,diffuse,14,6,0.42857142857142855,0.667390088693323,0.16313965235993855,0.38461538461538464,hunter
14,clumpy,15,4,0.6,0.48313375512649387,0.16740236256388696,0.5714285714285714,hunter
15,clumpy,20,5,0.4,0.6145365019512085,0.26494923807330356,0.3684210526315789,busybody
16,clumpy,14,6,0.2857142857142857,0.7160851847296936,0.19658742965593645,0.23076923076923078,busybody
18,diffuse,11,4,0.6363636363636364,0.44887029684661045,0.10376379726642805,0.4,hunter
25,clumpy,7,5,0.2857142857142857,0.673080899634839,0.06020599913279624,0.16666666666666666,busybody
26,clumpy,22,6,0.3181818181818182,0.7127772252504475,0.272203968599149,0.38095238095238093,busybody
39,clumpy,17,8,0.17647058823529413,0.8849767163807571,0.2447094785399078,0.125,busybody
40,clumpy,11,3,0.5454545454545454,0.4320898435410604,0.09214486364789166,0.5,hunter
41,clumpy,10,6,0.2,0.759176003468815,0.24082399653118497,0.1111111111111111,busybody
43,diffuse,12,6,0.3333333333333333,0.7090426026477249,0.17576430688788644,0.2727272727272727,busybody
44,diffuse,13,8,0.3076923076923077,0.8360695101554696,0.09407187364499413,0.25,busybody
45,clumpy,6,3,0.6666666666666666,0.3767779228316687,0.12210952514410778,0.6,hunter
48,diffuse,10,5,0.3,0.6762456261857126,0.17569891645432748,0.2222222222222222,busybody
50,clumpy,11,6,0.36363636363636365,0.6923378006608764,0.09030899869919436,0.1,busybody
