participant_id,condition,explore_dur_mean_mean,explore_dur_mean_sd,explore_dur_median_mean,explore_dur_median_sd,exploit_dur_mean_mean,exploit_dur_mean_sd,exploit_dur_median_mean,exploit_dur_median_sd,pct_time_exploit_mean,pct_time_exploit_sd,n_transitions_mean,n_transitions_sd,total_collected_mean,total_collected_sd,time_to_first_resource_mean,time_to_first_resource_sd,inter_resource_mean_mean,inter_resource_mean_sd,collection_rate_mean,collection_rate_sd,path_length_mean,path_length_sd,coverage_entropy_mean,coverage_entropy_sd,heading_variability_mean,heading_variability_sd,patch_leaving_distance_mean,patch_leaving_distance_sd,levy_alpha_mean,levy_alpha_sd
1,Diffuse,0.330527,0.653742,0.0933,0.154838,24.0668,8.76274,25.0387,9.01841,97.3576,5.50988,4.6,2.60768,121.8,19.6265,0.0358,0.0529405,0.504349,0.0754276,2.03053,0.327536,3441.88,5.70477,6.10853,0.169155,17.4349,1.405,9.06639,5.29374,1.34603,0.0192673
2,Diffuse,0.06675,0.0938989,0.0483,0.0532841,37.4337,22.5769,37.359,22.702,99.3204,1.35955,4.6,5.89915,121,14.5774,0.0408,0.0496004,0.501557,0.0537014,2.01663,0.24297,3445.37,11.0436,6.34024,0.26922,14.9627,1.38694,17.648,16.4032,1.34743,0.012599
4,Clumpy,5.03341,4.50169,2.3523,3.35037,5.90386,3.82225,3.8103,4.22276,52.6993,15.8429,14.4,9.1815,464.6,193.655,13.3362,14.3052,0.0811614,0.0309138,7.74262,3.22667,3839.08,137.773,5.67825,0.598959,20.1413,1.49676,22.1717,7.93055,1.62564,0.00722818
5,Diffuse,11.8784,22.4086,11.4144,22.7011,25.3266,23.6159,20.7852,26.4525,75.7232,36.4073,3.6,4.5607,116.6,12.054,0.1976,0.214427,0.518313,0.0561279,1.95442,0.207633,3429.25,26.3799,6.1447,0.226537,16.3203,2.96205,31.7109,0.607276,1.34486,0.0146748
8,Clumpy,5.64805,3.13425,2.3666,1.55969,5.00108,2.8114,3.8836,3.72801,46.3417,15.0928,11.8,5.35724,431.8,87.2451,20.6948,17.1343,0.0792591,0.0344137,7.22572,1.50048,4951.39,1575.73,6.10684,0.434973,16.633,2.26343,18.877,8.78389,1.6182,0.00603951
10,Diffuse,5.27337,10.5051,5.27337,10.5051,39.6766,14.1663,39.6766,14.1663,91.1569,17.5573,1.6,1.34164,125.6,7.1624,0.7036,0.782919,0.47314,0.028868,2.097,0.123697,3434.97,10.019,6.57172,0.141643,15.2726,3.62795,6.22812,1.19211,1.34707,0.00878029
11,Diffuse,7.8142,17.4127,7.8056,17.4175,36.1509,21.7755,37.972,20.1786,86.8711,29.0834,2.6,2.19089,110,7.58288,0.3048,0.415362,0.545897,0.040266,1.83429,0.125802,3439.98,4.12957,6.06131,0.155768,16.568,2.14606,16.1951,15.206,1.33979,0.00970743
13,Diffuse,0.06825,0.120465,0.0402,0.0583445,44.9364,21.3176,43.8805,23.2331,99.5921,0.826691,2.6,2.60768,125.6,12.7789,0.0602,0.0605202,0.482671,0.059103,2.0931,0.212858,3432.18,15.3373,6.4584,0.174176,17.1083,3.01982,10.1445,6.73073,1.34586,0.00653017
14,Clumpy,9.26947,7.23574,5.7748,7.84434,9.32733,6.47076,7.2645,7.74127,48.4209,18.9273,7.4,3.78153,565.2,181.1,10.3676,14.4654,0.0722637,0.014999,9.43552,3.02099,3942.2,252.711,5.9231,0.412279,21.1469,2.28046,23.9526,12.153,1.62213,0.0139064
15,Clumpy,4.19407,2.67266,2.5339,1.64796,5.99017,3.38592,5.6595,6.23266,59.6775,16.3922,13.8,7.46324,560,136.114,14.8576,13.2911,0.0740775,0.0172494,9.3332,2.26849,3784.41,145.752,5.73507,0.446359,16.3273,1.87811,30.1721,7.47084,1.61819,0.016912
