participant_id,domain,PC1,PC2,PC3
2,ecology,0.9042182479170897,0.20873176643984412,0.01760744626396905
9,ecology,0.41710452221238375,0.18521147218702863,0.06415864376028751
12,ecology,0.3053855364539989,-0.16712049942209894,0.006011846744951364
17,ecology,-0.4501835237505012,0.5125718482079085,-0.25308988585229897
20,ecology,-0.2205767344196099,-0.3082716006836449,-0.028973718108787284
29,ecology,-0.39855020074142866,-0.10880069966969483,-0.026749088161876912
35,ecology,-0.3085363435107797,-0.023294918215156887,0.09909314181005709
44,ecology,0.18183857358878636,-0.32093137254028425,-0.3880607852792241
46,ecology,-0.07092739334941779,-0.24259533713621656,0.32646797125312244
50,ecology,-0.12037987860907137,0.014442500641901885,-0.06113492044402854
51,ecology,-0.23939280579145059,0.2500568401904136,0.24466934801382792
