participant_id,condition,count_time,count_topic,count_typing,PC1,PC2,PC3
2,high-creativity,1.0,0.0,2.0,-3.4029345924053116,-0.3208182556308066,0.17781445246322825
9,high-creativity,1.0,4.5,2.5,0.7292119148465444,-2.1708080673082946,0.23169338429895237
12,high-creativity,1.5,1.5,2.0,-1.8505615028794087,-0.5089138017469024,-0.05618951427042924
13,high-creativity,2.5,2.0,3.0,-0.8341405562622569,0.29681781314125727,0.6972592391611577
17,high-creativity,4.0,1.0,2.5,-1.2093954685832173,2.0070342325987482,0.0382117830572832
19,high-creativity,2.5,1.0,3.0,-1.7343682299090717,0.7213310592695463,0.7941026150939797
20,high-creativity,3.0,6.5,2.5,3.3377935783629,-1.2251372672595184,-0.31694897890438917
21,high-creativity,3.0,5.0,3.0,2.0685740437338684,-0.5280476021672714,0.31799020852826715
26,high-creativity,2.0,1.5,2.0,-1.6485299238237272,-0.06023947867056398,-0.14492841710485346
28,high-creativity,6.0,2.0,1.5,0.33671456960394225,3.256578686976186,-1.392935451280083
29,high-creativity,3.0,4.5,2.5,1.537338231069271,-0.3761107750029406,-0.12326222703874509
35,high-creativity,3.0,6.0,3.0,2.9688017173806838,-0.9525608482955606,0.22114683259544504
37,high-creativity,5.0,5.0,3.0,2.8767003599565952,1.2666496901380826,-0.03696540280943041
44,high-creativity,0.5,4.0,1.0,-0.1662994285561154,-2.588185155019929,-1.100168395500482
46,high-creativity,0.0,0.0,1.0,-3.9692417021990565,-1.3388064935831114,-0.6240559889347693
49,high-creativity,4.0,3.0,2.0,0.5099379028692215,1.0976879444423564,-0.6451490923417842
50,high-creativity,4.0,3.0,3.5,0.7533038303927929,1.2786473321417975,0.8238732782584856
51,high-creativity,2.5,2.5,3.5,-0.3029047435976591,0.14488098597692634,1.1385116747281696
