participant_id,condition,PC1,PC2,PC3
2,high-creativity,2.8337014796530826,-0.2436217505730334,0.5056741293220621
9,high-creativity,-0.841440680682312,-1.6747445926629405,1.2117761403309164
12,high-creativity,0.11557737200574773,-0.5137566268647673,0.9148235834355959
13,high-creativity,0.5968023562373345,0.5602794611672587,0.0822928505327382
15,high-creativity,-0.7237215210353944,0.2647954596907208,-2.1034901658280285
17,high-creativity,-0.16987291620323033,1.2555087557613442,-0.5204076122332658
19,high-creativity,0.8250610671227374,0.6245069444604257,0.0873381035430708
20,high-creativity,-0.6683573339719913,-0.2614295440923594,-0.439552820090813
21,high-creativity,-1.5461594283644207,-1.412608282596273,0.22137993167219927
25,high-creativity,0.9576244101905567,0.9154861910390482,-0.6596724542573363
26,high-creativity,0.12576867431551125,1.1634442555525641,1.7602796337909696
28,high-creativity,-0.7538839367495216,1.8573607543611435,-0.6130292141172815
29,high-creativity,-1.169812961873434,0.10379207148603412,1.4685448525709988
35,high-creativity,-0.4579572733655144,-0.9256729129841752,-1.2547064931951408
37,high-creativity,-0.5230588851020116,0.25007631867475977,0.10797382557348711
44,high-creativity,-0.3714719862419054,-1.8281499465388948,-0.7079697217497113
46,high-creativity,2.3683640476942314,-1.3005217519672505,-0.6305539966237483
49,high-creativity,-0.8846591606119403,0.972133140135864,0.17522569457683557
50,high-creativity,-0.1487141415014208,0.1380409510912334,-0.2719166812176765
51,high-creativity,0.43621081848389404,0.05508110485929645,0.6659904139641277
