participant_id,condition,style_k2,style_k3,topic_concentration,transition_entropy,time_to_first_resource,inter_resource_mean,pct_time_exploit,n_transitions,mean_reading_length_s,count_time,count_topic,count_typing,PC1,seq_typing_entropy
94,diffuse,hunter,hunter,0.444444,0.115493,0.279,0.54644,29.2735,3.8,133.434,2.5,2.5,1.5,-1.51707,0.784159
95,diffuse,busybody,busybody,0.166667,0,0.1222,0.491529,0.372476,0.2,115.337,0.5,3.5,1.5,-1.50334,0.846439
96,diffuse,busybody,dancer,0.266667,0.192488,0.1358,0.481769,7.83276,1,79.6747,4,5,3,1.71136,0.764396
97,diffuse,busybody,dancer,0.4,0.169452,0.1254,0.468244,6.31895,1.2,75.2713,3.5,5,3.5,1.65774,0.820549
100,diffuse,hunter,busybody,0.428571,0,0.1048,0.480047,9.8057,0.8,172.496,1.5,1.5,1,-2.94498,0.5
102,diffuse,busybody,busybody,0.384615,0.148766,0.2612,0.447715,1.94245,0.4,53.0395,3,9,2,4.38972,0.684038
104,diffuse,busybody,dancer,0.368421,0.175967,0.0272,0.487589,10.4021,1.8,62.104,4.5,4.5,4,1.80694,0.743066
105,clumpy,busybody,busybody,0.230769,0.142317,7.0854,0.0868437,63.8454,2.6,90.7853,3,3.5,2,-0.298852,0.93156
106,clumpy,busybody,dancer,0.25,0.251055,20.2558,0.116406,13.1999,0.6,95.2608,2.5,3.5,2.5,-0.352467,0.917036
107,clumpy,hunter,busybody,0.428571,0,1.7728,0.143659,50.2453,2.6,89.5625,2,5,1,0.248342,0.650022
108,clumpy,busybody,busybody,0.285714,0.060206,15.1062,0.124179,71.5292,1,144.936,2,3,1,-1.45659,0.811278
109,diffuse,busybody,busybody,0.285714,0.060206,0.0814,0.484558,0,0,171.42,0,2.5,0.5,-2.87763,0.405639
110,clumpy,hunter,busybody,0.4,0.100343,27.7918,0.08149,17.8303,0.6,90.4642,1,4,0,-1.33563,0
111,clumpy,hunter,hunter,0.473684,0.134744,9.847,0.0821828,41.1442,2.8,59.4479,3,4,2,0.127382,0.601851
114,diffuse,busybody,busybody,0.375,0.144366,0.427,0.468773,5.60796,1.6,74.0876,3,4,2,0.127382,0.811278
118,clumpy,hunter,hunter,0.555556,0.0724407,7.2972,0.0950862,58.1099,2,129.362,1.5,1.5,1,-2.94498,0.985475
120,clumpy,hunter,hunter,0.444444,0.192488,4.5986,0.0663813,55.2212,3.8,73.5056,1,5,2,0.141113,0.543564
121,clumpy,busybody,dancer,0.25,0.175764,17.3978,0.0795948,42.7982,2.2,85.613,1.5,5.5,3,1.08917,0.951762
122,diffuse,busybody,dancer,0.4,0.426152,0.0218,0.612808,36.1817,2.6,53.0316,4,7,2,3.10415,0.586332
123,diffuse,hunter,hunter,0.555556,0.0543305,0.1318,0.463327,12.9046,3.4,81.187,1,2,1,-2.72843,0.863121
126,diffuse,busybody,dancer,0.214286,0.255285,0.028,0.500207,54.9487,2,84.0961,3,4.5,2.5,0.709684,0.78845
128,diffuse,hunter,busybody,0.4,0.100343,0.1104,0.483013,21.7556,3.2,183.369,2,2,2,-1.99692,0.918296
129,clumpy,hunter,hunter,0.470588,0.17395,18.5336,0.0757072,51.0366,2.2,81.5743,3,4.5,2,0.553615,0.810487
130,clumpy,busybody,busybody,0.166667,0,9.1655,0.12058,78.847,1.25,402.179,2,2,0,-2.6212,0
