participant_id,condition,mean_reading_length_s,median_reading_length_s,switch_rate_typing,switch_rate_topic,switch_rate_time
1,diffuse,36.63570833333334,9.8965,0.3768939393939394,0.5340909090909092,0.3352272727272727
2,diffuse,83.95357142857142,45.985,0.3333333333333333,1.0,0.5
4,clumpy,35.944291855203616,28.0265,0.14583333333333331,0.15625,0.29166666666666663
5,diffuse,112.21667857142856,108.08925,0.5833333333333334,0.6666666666666666,0.6666666666666666
8,clumpy,56.45409523809525,38.961,0.5166666666666667,0.275,0.35
10,diffuse,73.09174999999999,49.66375,0.14285714285714285,0.0,0.5714285714285714
11,diffuse,154.4735,39.315,0.375,0.5,0.375
13,diffuse,80.92007142857143,34.14,0.25,0.0,0.25
14,clumpy,97.55942045454546,32.151,0.31666666666666665,0.5,0.31666666666666665
15,clumpy,55.83873181818183,16.518250000000002,0.21666666666666667,0.2777777777777778,0.3277777777777778
16,clumpy,77.70856666666667,53.024,0.5111111111111111,0.2222222222222222,0.5222222222222221
18,diffuse,58.0995,21.213,0.2222222222222222,0.7777777777777778,0.2222222222222222
25,clumpy,142.89716666666666,125.31875000000001,0.16666666666666666,0.0,0.0
39,clumpy,67.13794444444444,56.52075,0.39285714285714285,0.39285714285714285,0.33035714285714285
40,clumpy,103.7875,79.00125,0.35,1.0,0.1
41,clumpy,122.64795833333332,107.56649999999999,0.3666666666666667,0.5,0.6333333333333333
43,diffuse,93.66252857142857,62.3025,0.625,0.6666666666666666,0.41666666666666663
44,diffuse,90.02057142857143,80.98725,0.2833333333333333,0.4,0.4166666666666667
48,diffuse,107.99966666666668,59.75975,0.16666666666666666,0.16666666666666666,0.9
50,clumpy,103.9048392857143,107.50375,0.5,0.5,0.8333333333333333
53,diffuse,88.58224999999999,62.71975,0.5416666666666666,0.16666666666666666,0.8333333333333333
54,diffuse,95.56858333333332,54.40925,0.5,0.3,0.5
56,clumpy,60.52891666666667,38.6765,0.35416666666666663,0.5625,0.4652777777777778
57,clumpy,120.73362499999999,96.023,0.16666666666666666,0.5,0.4583333333333333
59,clumpy,39.26747008547009,15.029,0.3431372549019608,0.4387254901960784,0.22549019607843135
60,diffuse,54.13309090909092,43.549,0.4,0.0,0.5
61,diffuse,101.19996666666665,81.54599999999999,0.425,0.4,0.2
62,diffuse,94.95773750000001,78.81700000000001,0.19642857142857142,0.35714285714285715,0.39285714285714285
63,diffuse,82.39362499999999,9.474499999999999,0.19607843137254902,0.4117647058823529,0.28431372549019607
71,clumpy,113.7728,62.196,0.5,0.0,0.5
72,clumpy,45.191517045454546,14.5855,0.15000000000000002,0.36666666666666664,0.2833333333333333
73,clumpy,180.12033333333332,191.292,0.5,0.0,0.0
74,diffuse,76.39933035714286,58.22775,0.45238095238095233,0.0,0.45238095238095233
75,clumpy,142.85516666666666,69.41575,0.35,0.0,0.8
80,diffuse,103.7702,100.02600000000001,0.65,0.3,0.325
82,clumpy,47.80839999999999,28.905,0.1111111111111111,0.7777777777777778,0.3333333333333333
85,diffuse,116.97,93.356,0.25,0.0,0.5
88,clumpy,57.36555555555555,46.604,0.5,0.0,0.375
89,clumpy,65.96588888888888,21.726,0.25,0.75,0.375
90,clumpy,144.044,101.9195,0.0,0.3333333333333333,1.0
92,diffuse,71.99666666666667,77.82900000000001,0.2,0.0,0.2
94,diffuse,133.43358333333333,115.22874999999999,0.45,0.2,0.8
95,diffuse,115.3366,102.59200000000001,0.375,0.125,0.125
96,diffuse,79.67466071428572,61.45125,0.47619047619047616,0.5238095238095238,0.6071428571428572
97,diffuse,75.27130555555556,41.851749999999996,0.475,0.125,0.55
100,diffuse,172.49645833333332,114.13749999999999,0.3333333333333333,0.41666666666666663,0.5833333333333333
102,diffuse,53.03945454545454,22.341,0.2,0.0,0.3
103,diffuse,191.39066666666668,47.887,0.5,0.0,0.5
104,diffuse,62.103988888888885,55.01649999999999,0.4722222222222222,0.2222222222222222,0.5277777777777778
105,clumpy,90.78529761904763,79.25649999999999,0.3833333333333333,0.5666666666666667,0.55
106,clumpy,95.26081428571428,67.0265,0.5,0.3333333333333333,0.5
107,clumpy,89.5625,32.701,0.2,0.0,0.4
108,clumpy,144.93574999999998,180.0155,0.3333333333333333,0.3333333333333333,0.6666666666666666
109,diffuse,171.419875,151.27925,0.16666666666666666,0.0,0.0
110,clumpy,90.46419999999999,48.526,0.0,0.5,0.25
111,clumpy,59.44793939393939,25.595,0.2375,0.125,0.35
113,diffuse,128.76850000000002,108.70875,0.39285714285714285,0.0,0.14285714285714285
114,diffuse,74.087625,76.821,0.2857142857142857,0.0,0.42857142857142855
118,clumpy,129.36169999999998,127.6915,0.29166666666666663,0.75,0.4583333333333333
120,clumpy,73.50562500000001,24.162,0.2857142857142857,0.0,0.14285714285714285
121,clumpy,85.61301190476192,50.29425,0.55,0.5,0.2833333333333333
122,diffuse,53.031555555555556,30.515,0.27941176470588236,0.4656862745098039,0.3970588235294118
123,diffuse,81.187,23.388,0.16666666666666666,0.0,0.16666666666666666
124,diffuse,127.45025000000001,53.4455,0.3333333333333333,0.0,0.3333333333333333
126,diffuse,84.09614285714287,51.091,0.41666666666666663,0.41666666666666663,0.5
128,diffuse,183.36933333333332,48.489,1.0,0.0,1.0
129,clumpy,81.574325,88.17399999999999,0.26136363636363635,0.6477272727272727,0.3522727272727273
130,clumpy,402.1793333333333,483.297,0.0,0.0,1.0
131,diffuse,167.564125,164.87525,0.5,0.0,0.3333333333333333
132,clumpy,113.79619999999997,117.147,0.5,1.0,0.75
133,diffuse,130.628675,84.6045,0.29166666666666663,0.0,0.41666666666666663
135,diffuse,76.215125,47.891,0.5714285714285714,0.0,0.5714285714285714
136,clumpy,67.84900526315789,56.052,0.18055555555555555,0.4444444444444444,0.18055555555555555
137,diffuse,119.781,109.91125,0.5,0.0,0.3333333333333333
138,clumpy,121.99279166666665,38.005,0.3666666666666667,0.0,0.26666666666666666
139,clumpy,106.81739999999999,67.23,0.5,0.0,0.5
140,diffuse,78.35785714285713,48.294,0.5,0.0,0.6666666666666666
141,clumpy,66.04967500000001,44.36275,0.36507936507936506,0.1111111111111111,0.30952380952380953
142,clumpy,128.88283333333334,120.1875,0.4375,0.0,0.4375
143,clumpy,60.06525252525253,44.049499999999995,0.225,0.825,0.275
144,diffuse,139.09175,39.956999999999994,0.3333333333333333,0.0,0.6666666666666666
145,diffuse,82.27848888888889,61.623000000000005,0.25,0.0,0.625
146,clumpy,62.87215350877192,53.04900000000001,0.12777777777777777,0.3555555555555555,0.2277777777777778
147,diffuse,50.81675490196079,26.0275,0.3125,0.125,0.375
149,diffuse,134.24666666666667,120.8125,0.6666666666666667,0.5,0.4166666666666667
150,clumpy,141.042125,125.10325,0.3333333333333333,0.16666666666666666,0.16666666666666666
151,diffuse,96.95066666666666,8.3245,0.2,0.0,0.2
154,diffuse,75.11808333333333,21.293000000000003,0.15000000000000002,0.15,0.15000000000000002
155,clumpy,69.59566666666666,50.88425,0.2589285714285714,0.07142857142857142,0.2767857142857143
156,diffuse,80.88369444444444,63.30324999999999,0.4875,0.0,0.3875
157,diffuse,138.8305,161.376,0.6666666666666666,0.3333333333333333,0.3333333333333333
160,diffuse,59.6529,26.9425,0.4444444444444444,0.0,0.5555555555555556
161,clumpy,80.94942857142857,61.8,0.3333333333333333,0.3333333333333333,0.5833333333333333
162,diffuse,100.06565,72.16475,0.2777777777777778,0.5,0.16666666666666666
