participant_id,domain,PC1,PC2,PC3
9,psychology,0.6461634205112738,-0.5608838511953962,-0.093805994418122
15,psychology,0.55834832502687,0.18379865876630946,-0.07842846658691012
19,psychology,-0.2739795993363119,-0.014689185453793783,-0.09667132881115074
20,psychology,0.1950158751468012,-0.02943417863596826,0.04413289729878197
26,psychology,-0.186389854762338,0.09627203268524245,-0.09271598880462686
28,psychology,0.15423692969200498,0.527787881003717,-0.07733411100147872
29,psychology,-0.30400582908517615,0.17485680496126768,0.30727265622222244
37,psychology,0.14933585691444226,-0.18569231491794957,0.3828381092101012
46,psychology,-0.6243385776322076,-0.45853405800993924,-0.11249268883724596
49,psychology,-0.04040694713904809,0.28120739625030294,-0.08612375546042059
51,psychology,-0.2739795993363119,-0.014689185453793805,-0.0966713288111507
