measure,n_d,n_c,raw_d,raw_p,adj_d,adj_p,d_mean,c_mean,domain
seq_typing_entropy,47,43,0.3862601439277886,0.07459775400266545,0.5683437002191722,0.010846663678801827,0.7914218572584729,0.689864764375216,art_history
seq_typing_max_run,47,43,-0.515712983845127,0.020487680046017892,-0.6873707466910446,0.0022465383112815207,3.8085106382978724,5.3023255813953485,art_history
first_writing_time_s,47,43,-0.309795761196649,0.15002405820202164,-0.4399188631759002,0.04696475900289632,119.69106382978721,154.905,art_history
seq_typing_mean_run_explore,46,41,-0.46500193626312847,0.04205581902328342,-0.6369112487822787,0.005171828967439174,3.221014492753623,4.550813008130081,art_history
seq_topic_mean_run_exploit,47,43,-0.4065386519304999,0.06217672761309367,-0.5195252242205342,0.01950083348665199,1.4840425531914894,1.953875968992248,art_history
pasted_chars,47,43,-0.4309462989962236,0.04835221320039372,0.004102081357912193,0.9850504581106378,517.8297872340426,1032.9302325581396,art_history
seq_typing_entropy,41,41,0.21899711267703156,0.3244159468644215,0.31569020599353004,0.16860878500359666,0.7615747544276423,0.6995042190217918,psychology
seq_typing_max_run,41,41,-0.1543044980653069,0.4868133873651568,-0.18719754552450052,0.41247891868800046,4.219512195121951,4.7073170731707314,psychology
first_writing_time_s,41,41,-0.2642383068422654,0.23507828612290266,-0.30650852258019173,0.18118797446341794,102.47226829268291,129.22024390243902,psychology
seq_typing_mean_run_explore,39,39,-0.014479701459178165,0.9492126141747625,-0.04824572083285839,0.8372831169768458,3.4658119658119664,3.508547008547008,psychology
seq_topic_mean_run_exploit,41,41,-0.18935893150216485,0.3941920234802378,-0.2902460572435534,0.20519019524233872,1.8491869918699186,2.069105691056911,psychology
pasted_chars,41,41,-0.28155852256948755,0.2067429082634729,0.46044415855691556,0.04608673983574363,680.170731707317,989.0975609756098,psychology
seq_typing_entropy,52,49,0.5171751782048898,0.01233991644272842,0.6851802207785228,0.001270272790017346,0.7822401784789942,0.6691058695718177,pooled
seq_typing_max_run,52,49,-0.4125651094062963,0.0427935296697739,-0.5241001434256163,0.012706495021817421,4.0,4.8979591836734695,pooled
first_writing_time_s,52,49,-0.31759507729142017,0.1153552612209271,-0.4705670138258616,0.02482199752819869,114.20728846153845,144.68525510204083,pooled
seq_typing_mean_run_explore,52,47,-0.3178094212379128,0.12233222994701431,-0.4381873386365938,0.03800652067071253,3.2580128205128203,3.924645390070922,pooled
seq_topic_mean_run_exploit,52,49,-0.32449595033681927,0.11045628993606568,-0.4238777493869005,0.04272809117930021,1.6592948717948717,1.9627551020408163,pooled
pasted_chars,52,49,-0.41567627431495896,0.043150284945890675,0.16407020316872614,0.4287142830721973,569.2596153846154,981.3571428571429,pooled
