participant_id,condition,trial,map_id,explore_dur_mean,explore_dur_median,exploit_dur_mean,exploit_dur_median,pct_time_exploit,n_transitions,total_collected,time_to_first_resource,inter_resource_mean,collection_rate,path_length,coverage_entropy,heading_variability,patch_leaving_distance,levy_alpha
1,Diffuse,1,Diffuse_5,0.122333,0.066,19.878,26.025,99.3883,5,107,0.044,0.562575,1.7833,3445.22,5.86317,15.5765,6.22812,1.33316
1,Diffuse,2,Diffuse_2,0.0095,0.0095,29.991,29.991,99.9683,3,104,0.003,0.578,1.7333,3436.97,6.02958,18.9334,15.6205,1.32699
1,Diffuse,3,Diffuse_3,0.0125,0.0125,29.988,29.988,99.9583,3,150,0.125,0.40147,2.49996,3437.14,6.21203,18.4941,3.60555,1.37445
1,Diffuse,4,Diffuse_4,0.0115,0.0115,29.9885,29.9885,99.9617,3,114,0.007,0.528177,1.9,3439.91,6.13857,17.7295,6.08276,1.33932
1,Diffuse,5,Diffuse_5,1.4968,0.367,10.4884,9.201,87.5113,9,134,0,0.451523,2.23609,3450.16,6.29933,16.4408,13.795,1.35623
2,Diffuse,1,Diffuse_3,0.23325,0.141,7.267,6.8935,96.8901,15,120,0.127,0.494639,1.99993,3463.16,5.97547,15.2729,36.421,1.35675
2,Diffuse,2,Diffuse_4,0.014,0.014,59.986,59.986,99.9767,1,146,0.015,0.413669,2.43333,3439.62,6.56721,13.8726,,1.35976
2,Diffuse,3,Diffuse_2,0.0285,0.0285,29.972,29.972,99.905,3,113,0.008,0.53275,1.8833,3443.06,6.56477,14.362,6.08276,1.34438
2,Diffuse,4,Diffuse_5,0.044,0.044,29.9565,29.9565,99.8533,3,109,0.039,0.552944,1.81664,3447.05,6.45683,14.0569,10.4403,1.32779
2,Diffuse,5,Diffuse_2,0.014,0.014,59.987,59.987,99.9767,1,117,0.015,0.513784,1.94997,3433.97,6.13691,17.2493,,1.34845
4,Clumpy,1,Clumpy_4,1.74227,0.649,2.41943,1.4675,56.4477,28,298,0.455,0.133165,4.96617,3809.11,5.00601,17.8343,31.077,1.61469
