participant_id,condition,sr_time,sr_topic,sr_typing,composite
15,high-creativity,0.375,0.125,0.0,0.16666666666666666
35,high-creativity,0.1875,0.375,0.1875,0.25
46,high-creativity,0.0,0.0,0.75,0.25
44,high-creativity,0.04545454545454545,0.5681818181818181,0.29545454545454547,0.303030303030303
25,high-creativity,0.5,0.0,0.5,0.3333333333333333
20,high-creativity,0.3789473684210526,0.48947368421052634,0.2789473684210526,0.3824561403508772
17,high-creativity,0.6363636363636364,0.2,0.33636363636363636,0.39090909090909093
50,high-creativity,0.4375,0.375,0.3875,0.39999999999999997
28,high-creativity,0.7777777777777777,0.2222222222222222,0.2222222222222222,0.4074074074074074
2,high-creativity,0.25,0.0,1.0,0.4166666666666667
19,high-creativity,0.5,0.2,0.6,0.4333333333333333
13,high-creativity,0.5,0.25,0.5625,0.4375
37,high-creativity,0.5042016806722689,0.5042016806722689,0.3865546218487395,0.46498599439775906
21,high-creativity,0.25,0.9166666666666667,0.25,0.47222222222222227
49,high-creativity,0.6666666666666666,0.5,0.3333333333333333,0.49999999999999994
51,high-creativity,0.45,0.45,0.6333333333333333,0.5111111111111111
12,high-creativity,0.375,0.625,0.625,0.5416666666666666
9,high-creativity,0.225,1.0,0.525,0.5833333333333334
29,high-creativity,0.6000000000000001,0.9,0.5,0.6666666666666666
26,high-creativity,0.75,0.5833333333333333,0.75,0.6944444444444443
