measure,n_d,n_c,raw_d,raw_p,adj_d,adj_p,d_mean,c_mean,stratum
seq_typing_entropy,46,44,0.2785189564942699,0.1905495634741141,0.360247069725572,0.09716226260457717,0.7455315876384868,0.6667542618360321,first
seq_typing_entropy,42,40,0.33880065748366944,0.1327162571343408,0.5352489271645762,0.023448842044600182,0.8125461712216946,0.7251667581810585,second
seq_typing_entropy,52,49,0.5171751782048898,0.01233991644272842,0.6851802207785228,0.001270272790017346,0.7822401784789942,0.6691058695718177,pooled
seq_typing_max_run,46,44,-0.41630544712181333,0.05206100052777205,-0.47355136463566994,0.030146736065960855,4.0,4.909090909090909,first
seq_typing_max_run,42,40,-0.29955100997537665,0.1827413779833434,-0.435407584040254,0.06381986563910824,4.0,5.125,second
seq_typing_max_run,52,49,-0.4125651094062963,0.0427935296697739,-0.5241001434256163,0.012706495021817421,4.0,4.8979591836734695,pooled
first_writing_time_s,46,44,-0.12103285869179298,0.5674973329904502,-0.24301535147733508,0.26109345832109176,131.1268695652174,143.8726363636364,first
first_writing_time_s,42,40,-0.45862016174991105,0.04301271998535678,-0.4954598412832103,0.035517104501087804,90.35730952380952,140.713725,second
first_writing_time_s,52,49,-0.31759507729142017,0.1153552612209271,-0.4705670138258616,0.02482199752819869,114.20728846153845,144.68525510204083,pooled
seq_typing_mean_run_explore,43,42,-0.3257540898183326,0.136958338063835,-0.3859216699744868,0.08441153696424175,3.1937984496124026,3.803571428571428,first
seq_typing_mean_run_explore,42,38,-0.22301380758356174,0.32825614031008904,-0.38045773354602797,0.11114171731745581,3.4761904761904763,4.30701754385965,second
seq_typing_mean_run_explore,52,47,-0.3178094212379128,0.12233222994701431,-0.4381873386365938,0.03800652067071253,3.2580128205128203,3.924645390070922,pooled
seq_topic_mean_run_exploit,46,44,-0.18983545579527933,0.3732387401431032,-0.24307031613011257,0.2609864024025157,1.809782608695652,2.035984848484848,first
seq_topic_mean_run_exploit,42,40,-0.4425079142213535,0.05277849817787328,-0.6191782213780749,0.009124393251964458,1.4837301587301586,1.981666666666667,second
seq_topic_mean_run_exploit,52,49,-0.32449595033681927,0.11045628993606568,-0.4238777493869005,0.04272809117930021,1.6592948717948717,1.9627551020408163,pooled
pasted_chars,46,44,-0.2593722732774069,0.22688311162756059,0.1308647475878815,0.5440205046515119,597.9130434782609,864.5227272727273,first
pasted_chars,42,40,-0.4628037423002792,0.041686117759393695,0.19690006333969487,0.3978438213991964,588.5952380952381,1173.25,second
pasted_chars,52,49,-0.41567627431495896,0.043150284945890675,0.16407020316872614,0.4287142830721973,569.2596153846154,981.3571428571429,pooled
final_answer_length,46,44,-0.3854270868238929,0.07704302944981459,-0.3854270868238929,0.07704302944981459,771.7608695652174,1060.8181818181818,first
final_answer_length,42,40,-0.6222183361849167,0.00794665782395633,-0.6222183361849167,0.00794665782395633,839.7380952380952,1420.95,second
final_answer_length,52,49,-0.5437074523770353,0.009808387368052502,-0.5437074523770353,0.009808387368052502,791.3942307692307,1208.4795918367347,pooled
