k,group,search_measure,task_measure,n,rho,p
3,All,pct_time_exploit,mean_reading_length_s,94,-0.154886,0.136069
3,All,pct_time_exploit,count_time,130,0.029837,0.73613
3,All,pct_time_exploit,count_topic,130,0.0135348,0.878527
3,All,pct_time_exploit,count_typing,130,0.0173279,0.844864
3,All,pct_time_exploit,PC1,130,0.0237702,0.788359
3,All,pct_time_exploit,seq_typing_entropy,130,-0.126878,0.150299
3,All,n_transitions,mean_reading_length_s,94,-0.0968879,0.352898
3,All,n_transitions,count_time,130,0.00404019,0.963613
3,All,n_transitions,count_topic,130,-0.0680307,0.441852
3,All,n_transitions,count_typing,130,0.0689654,0.43559
3,All,n_transitions,PC1,130,-0.0399905,0.651457
3,All,n_transitions,seq_typing_entropy,130,-0.0136288,0.87769
3,hunter,time_to_first_resource,mean_reading_length_s,32,0.0593842,0.746811
3,hunter,time_to_first_resource,count_time,40,0.069514,0.669947
3,hunter,time_to_first_resource,count_topic,40,0.0282501,0.862621
3,hunter,time_to_first_resource,count_typing,40,0.19639,0.224533
3,hunter,time_to_first_resource,PC1,40,0.0570464,0.726611
3,hunter,time_to_first_resource,seq_typing_entropy,40,-0.0580255,0.722104
3,hunter,inter_resource_mean,mean_reading_length_s,32,0.0630499,0.731738
3,hunter,inter_resource_mean,count_time,40,-0.0527511,0.746488
3,hunter,inter_resource_mean,count_topic,40,0.0177976,0.913202
3,hunter,inter_resource_mean,count_typing,40,-0.246696,0.124883
3,hunter,inter_resource_mean,PC1,40,-0.0201726,0.901672
3,hunter,inter_resource_mean,seq_typing_entropy,40,0.0446928,0.784211
3,hunter,pct_time_exploit,mean_reading_length_s,32,-0.0836084,0.649152
3,hunter,pct_time_exploit,count_time,40,-0.160317,0.323057
3,hunter,pct_time_exploit,count_topic,40,-0.10806,0.506876
3,hunter,pct_time_exploit,count_typing,40,0.114501,0.481728
3,hunter,pct_time_exploit,PC1,40,-0.097672,0.548786
3,hunter,pct_time_exploit,seq_typing_entropy,40,0.0500681,0.758988
3,hunter,n_transitions,mean_reading_length_s,32,0.137488,0.453026
3,hunter,n_transitions,count_time,40,-0.154401,0.341465
3,hunter,n_transitions,count_topic,40,-0.221761,0.169052
3,hunter,n_transitions,count_typing,40,0.140404,0.38752
3,hunter,n_transitions,PC1,40,-0.174941,0.28028
3,hunter,n_transitions,seq_typing_entropy,40,0.0547605,0.737169
3,busybody,time_to_first_resource,mean_reading_length_s,33,-0.0842246,0.64121
3,busybody,time_to_first_resource,count_time,41,-0.0444045,0.782801
3,busybody,time_to_first_resource,count_topic,41,-0.152771,0.340301
3,busybody,time_to_first_resource,count_typing,41,-0.25855,0.102634
3,busybody,time_to_first_resource,PC1,41,-0.132944,0.407319
3,busybody,time_to_first_resource,seq_typing_entropy,41,-0.256118,0.106024
3,busybody,inter_resource_mean,mean_reading_length_s,33,0.27373,0.123211
3,busybody,inter_resource_mean,count_time,41,-0.0528077,0.742983
3,busybody,inter_resource_mean,count_topic,41,0.0628487,0.696264
3,busybody,inter_resource_mean,count_typing,41,0.138808,0.386754
3,busybody,inter_resource_mean,PC1,41,0.0209958,0.896333
3,busybody,inter_resource_mean,seq_typing_entropy,41,0.279409,0.0768628
3,busybody,pct_time_exploit,mean_reading_length_s,33,0.0742599,0.681285
3,busybody,pct_time_exploit,count_time,41,0.0854849,0.59513
3,busybody,pct_time_exploit,count_topic,41,-0.223408,0.160293
3,busybody,pct_time_exploit,count_typing,41,-0.15772,0.324698
3,busybody,pct_time_exploit,PC1,41,-0.137099,0.392685
3,busybody,pct_time_exploit,seq_typing_entropy,41,-0.254702,0.108036
3,busybody,n_transitions,mean_reading_length_s,33,-0.0497698,0.783276
3,busybody,n_transitions,count_time,41,-0.0191012,0.905643
3,busybody,n_transitions,count_topic,41,-0.301368,0.0555175
