participant_id,domain,PC1,PC2,PC3
9,psychology,-0.19202217736742463,0.2897436928729631,-0.5090955641517918
15,psychology,-0.32747037188845823,-0.48597083935680724,-0.004198791446181757
19,psychology,0.21290250282947254,-0.024630949694156697,-0.01695271143701772
20,psychology,-0.04027356404036759,-0.13842440933372693,0.03738813606811079
26,psychology,0.041850334399235085,0.0021870114220856607,-0.0216380755510812
28,psychology,-0.42573416507250006,-0.26558621061931625,0.10172234341257298
29,psychology,-0.16660813642926467,0.577980593977335,0.21289724423686618
37,psychology,-0.043528380484954124,0.293875726195796,0.191395421249778
46,psychology,0.8971111765504228,-0.13190279415912604,0.0017887450192362847
49,psychology,-0.16912972132563173,-0.09264087161088957,0.023645964036525833
51,psychology,0.21290250282947254,-0.024630949694156683,-0.016952711437017706
