participant_id,count_time,count_topic,count_typing,z_time,z_topic,z_typing,z_time_typing_mean,lda_residual,abs_residual,n_pages_avg
102,3.0,9.0,2.0,0.4757795853884386,2.360725118894665,0.05842582743847526,0.26710270641345696,2.093622412481208,2.093622412481208,11.0
170,6.0,4.0,3.5,2.858609575019792,0.07249827620405888,1.420197036196782,2.139403305608287,-2.066905029404228,2.066905029404228,8.5
18,2.0,8.0,2.0,-0.31849707782201253,1.9030797503565438,0.05842582743847526,-0.13003562519176864,2.0331153755483125,2.0331153755483125,10.0
140,4.0,2.0,3.0,1.2700562485988898,-0.8427924608721836,0.9662732999440131,1.1181647742714516,-1.9609572351436353,1.9609572351436353,7.0
164,4.5,8.5,1.0,1.6671945802041153,2.1319024346256046,-0.8494216450670626,0.4088864675685263,1.7230159670570782,1.7230159670570782,12.5
1,4.5,5.5,5.5,1.6671945802041153,0.7589663290112407,3.2358919812078577,2.4515432807059865,-1.6925769516947458,1.6925769516947458,18.5
72,3.5,8.5,2.0,0.8729179169936642,2.1319024346256046,0.05842582743847526,0.4656718722160697,1.6662305624095348,1.6662305624095348,13.5
128,2.0,0.0,2.0,-0.31849707782201253,-1.7580831979484262,0.05842582743847526,-0.13003562519176864,-1.6280475727566575,1.6280475727566575,3.0
63,2.5,6.5,1.0,0.07864125378321306,1.216611697549362,-0.8494216450670626,-0.3853901956419248,1.6020018931912867,1.6020018931912867,11.0
151,1.0,5.0,1.0,-1.1127737410324636,0.5301436447421801,-0.8494216450670626,-0.9810976930497631,1.5112413377919434,1.5112413377919434,6.0
110,1.0,4.0,0.0,-1.1127737410324636,0.07249827620405888,-1.7572691175726005,-1.435021429302532,1.507519705506591,1.507519705506591,5.0
104,4.5,4.5,4.0,1.6671945802041153,0.3013209604731195,1.874120772449551,1.7706576763268331,-1.4693367158537136,1.4693367158537136,9.5
4,4.0,8.5,2.0,1.2700562485988898,2.1319024346256046,0.05842582743847526,0.6642410380186825,1.467661396606922,1.467661396606922,15.0
8,3.5,10.5,4.5,0.8729179169936642,3.047193171701847,2.32804450870232,1.6004812128479922,1.4467119588538548,1.4467119588538548,14.0
143,2.5,7.0,2.0,0.07864125378321306,1.4454343818184225,0.05842582743847526,0.06853354061084416,1.3769008412075783,1.3769008412075783,10.0
59,3.0,4.5,5.0,0.4757795853884386,0.3013209604731195,2.7819682449550887,1.6288739151717637,-1.3275529546986442,1.3275529546986442,15.5
166,1.5,5.5,1.5,-0.715635409427238,0.7589663290112407,-0.39549790881429364,-0.5555666591207659,1.3145329881320067,1.3145329881320067,7.0
162,1.5,5.5,1.5,-0.715635409427238,0.7589663290112407,-0.39549790881429364,-0.5555666591207659,1.3145329881320067,1.3145329881320067,7.0
169,4.5,4.5,3.5,1.6671945802041153,0.3013209604731195,1.420197036196782,1.5436958082004486,-1.242374847727329,1.242374847727329,10.0
15,3.0,7.0,2.0,0.4757795853884386,1.4454343818184225,0.05842582743847526,0.26710270641345696,1.1783316754049655,1.1783316754049655,10.5
108,2.0,0.0,1.0,-0.31849707782201253,-1.7580831979484262,-0.8494216450670626,-0.5839593614445375,-1.1741238365038886,1.1741238365038886,4.0
75,2.5,0.5,1.0,0.07864125378321306,-1.5292605136793656,-0.8494216450670626,-0.3853901956419248,-1.1438703180374408,1.1438703180374408,4.5
107,2.0,5.0,1.0,-0.31849707782201253,0.5301436447421801,-0.8494216450670626,-0.5839593614445375,1.1141030061867176,1.1141030061867176,6.0
82,3.0,1.0,1.0,0.4757795853884386,-1.300437829410305,-0.8494216450670626,-0.186821029839312,-1.113616799570993,1.113616799570993,10.0
146,1.5,4.5,1.0,-0.715635409427238,0.3013209604731195,-0.8494216450670626,-0.7825285272471503,1.0838494877202698,1.0838494877202698,12.5
120,1.0,5.0,2.0,-1.1127737410324636,0.5301436447421801,0.05842582743847526,-0.5271739567969942,1.0573176015391743,1.0573176015391743,8.0
135,4.0,5.0,4.0,1.2700562485988898,0.5301436447421801,1.874120772449551,1.5720885105242204,-1.0419448657820403,1.0419448657820403,8.0
53,5.0,5.0,3.0,2.0643329118093408,0.5301436447421801,0.9662732999440131,1.515303105876677,-0.9851594611344969,0.9851594611344969,7.5
160,5.0,6.0,4.0,2.0643329118093408,0.9877890132803013,1.874120772449551,1.9692268421294459,-0.9814378288491445,0.9814378288491445,10.0
50,4.0,3.5,2.0,1.2700562485988898,-0.15632440806500175,0.05842582743847526,0.6642410380186825,-0.8205654460836842,0.8205654460836842,5.5
