ID,Domain,total_min,idle_pct
9,psychology,10.059933333333333,0.10752224998177588
12,economics,10.020983333333334,10.640339687222976
13,economics,10.090333333333332,2.700769713587262
15,psychology,10.166633333333333,67.35972904829195
17,economics,10.0454,7.470583550679913
19,psychology,10.071383333333333,7.715590211870928
20,psychology,10.034816666666668,0.02989591239833313
21,economics,10.04515,5.425006097469924
25,economics,10.065083333333332,63.50618060787707
25,psychology,10.066166666666668,57.02932264847591
26,psychology,10.013016666666665,6.083747655135565
28,psychology,10.058333333333334,0.2616404308202154
29,psychology,10.2173,31.110306375787474
35,economics,10.020766666666667,38.38478759110248
37,psychology,10.023333333333333,6.60575324243432
44,economics,10.022116666666667,23.177572269330994
46,psychology,10.112400000000001,16.655788932399826
49,economics,5.050266666666667,3.954576656018164
49,psychology,10.047166666666667,17.557188593799246
51,psychology,10.195466666666666,0.4807692307692308
