participant_id,condition,seq_typing_entropy
1,diffuse,0.723828349670927
2,diffuse,0.5916727785823275
4,clumpy,0.3570002612633269
5,diffuse,0.9315602842833155
8,clumpy,0.7194722376105982
10,diffuse,0.2717822215997982
11,diffuse,0.9446232142545791
13,diffuse,0.863120568566631
14,clumpy,0.7476582800490872
15,clumpy,0.660393943076103
16,clumpy,0.8201119644709259
18,diffuse,0.8812908992306927
25,clumpy,0.4056390622295664
26,clumpy,0.7506389660897237
39,clumpy,0.8821022532543101
40,clumpy,0.9854752972273343
41,clumpy,0.825011210824177
43,diffuse,0.9170355815106498
44,diffuse,0.7565714951074926
48,diffuse,0.4056390622295664
50,clumpy,0.7014754515207302
53,diffuse,0.8464393446710154
54,diffuse,0.9591479170272448
56,clumpy,0.7430663006979913
57,clumpy,0.5
59,clumpy,0.7146861294702197
60,diffuse,0.6840384356390417
61,diffuse,0.9854752972273343
62,diffuse,0.8911143594569007
63,diffuse,0.7877413154838766
71,clumpy,0.9709505944546686
72,clumpy,0.4915307150605549
73,clumpy,0.9182958340544896
74,diffuse,0.9087772857457981
75,clumpy,0.7841591278514218
80,diffuse,0.8201119644709259
82,clumpy,0.4689955935892811
85,diffuse,0.7219280948873623
88,clumpy,0.9182958340544896
89,clumpy,0.5032583347756459
90,clumpy,0.0
92,diffuse,1.0
94,diffuse,0.7841591278514218
95,diffuse,0.8464393446710154
96,diffuse,0.764396289616924
97,diffuse,0.8205492407432882
100,diffuse,0.5
102,diffuse,0.6840384356390417
103,diffuse,0.9182958340544896
104,diffuse,0.7430663006979913
105,clumpy,0.9315602842833155
106,clumpy,0.9170355815106498
107,clumpy,0.6500224216483541
108,clumpy,0.8112781244591328
109,diffuse,0.4056390622295664
110,clumpy,0.0
111,clumpy,0.6018507467150669
113,diffuse,0.730930138627043
114,diffuse,0.8112781244591328
118,clumpy,0.9854752972273343
120,clumpy,0.5435644431995964
121,clumpy,0.9517619850443706
122,diffuse,0.5863319988584781
123,diffuse,0.863120568566631
124,diffuse,0.8112781244591328
126,diffuse,0.7884504573082896
128,diffuse,0.9182958340544896
129,clumpy,0.8104865080515113
130,clumpy,0.0
131,diffuse,1.0
132,clumpy,0.7219280948873623
133,diffuse,0.8609640474436812
135,diffuse,1.0
136,clumpy,0.5097001719033261
137,diffuse,0.5
138,clumpy,0.7306502730537434
139,clumpy,0.7219280948873623
140,diffuse,0.863120568566631
141,clumpy,0.8381810489061636
142,clumpy,0.9546859469463559
143,clumpy,0.9319780693275648
144,diffuse,0.8112781244591328
145,diffuse,0.9446232142545791
146,clumpy,0.6487361244596449
147,diffuse,0.7204276042957152
149,diffuse,0.9517619850443706
150,clumpy,0.9056390622295665
151,diffuse,0.6500224216483541
154,diffuse,0.6788964104880015
155,clumpy,0.6538844748541084
156,diffuse,0.8821022532543101
157,diffuse,0.8112781244591328
160,diffuse,0.7219280948873623
161,clumpy,0.7273966735744792
162,diffuse,0.6401368590242069
164,clumpy,0.29583638929116374
165,clumpy,0.0
166,diffuse,0.7717822215997983
168,clumpy,0.7033425058831138
169,clumpy,0.87479762862974
170,clumpy,0.7877413154838766
171,clumpy,0.4591479170272448
172,clumpy,0.8089775608381391
173,clumpy,0.7389282412270266
174,clumpy,0.9854752972273343
176,diffuse,0.9446232142545791
177,clumpy,0.8647869792568113
178,clumpy,0.4854752972273343
179,clumpy,0.8112781244591328
181,clumpy,0.9056390622295665
183,diffuse,0.8464393446710154
184,clumpy,0.874716321271436
185,clumpy,0.8818233853384629
186,clumpy,0.8647869792568113
189,clumpy,0.8647869792568113
190,clumpy,0.8104865080515113
191,clumpy,0.8112781244591328
192,clumpy,0.9446232142545791
193,clumpy,0.9926140680171258
194,clumpy,0.5677415911971337
195,diffuse,0.7430663006979913
196,clumpy,0.8201119644709259
197,diffuse,0.9182958340544896
198,clumpy,0.9182958340544896
199,clumpy,0.9182958340544896
200,diffuse,0.8647869792568113
201,diffuse,0.6222437347121516
202,clumpy,0.6139196316024074
203,diffuse,0.6788964104880015
205,diffuse,0.9182958340544896
206,diffuse,0.4394969869215134
207,clumpy,0.6500224216483541
208,diffuse,0.8647869792568113
209,diffuse,0.9182958340544896
210,diffuse,0.7219280948873623
211,clumpy,0.9854752972273343
212,diffuse,0.8112781244591328
213,clumpy,0.6971114559815001
