participant_id,condition,PC1_rates,PC2_rates,PC3_rates,PC1_counts,PC2_counts,PC3_counts
2,high-creativity,2.8337014796530826,-0.2436217505730334,0.5056741293220621,-1.8036957348681724,-0.31707439584576613,0.5730087498570435
9,high-creativity,-0.841440680682312,-1.6747445926629405,1.2117761403309164,0.4202260398666445,1.3518770454140168,0.6217496583324437
12,high-creativity,0.11557737200574773,-0.5137566268647673,0.9148235834355959,-0.6396290148160467,-0.09450499598983973,0.41490663239012504
13,high-creativity,0.5968023562373345,0.5602794611672587,0.0822928505327382,0.5591404516258786,-0.4244132886744417,0.8174152917207121
15,high-creativity,-0.7237215210353944,0.2647954596907208,-2.1034901658280285,-2.2925679004933914,-0.1573402069159252,-1.1483705719547557
17,high-creativity,-0.16987291620323033,1.2555087557613442,-0.5204076122332658,0.47723658059370005,-1.323022835790661,-0.040224038201516495
19,high-creativity,0.8250610671227374,0.6245069444604257,0.0873381035430708,0.2563148716022489,-0.8789624848920826,0.9532484722897406
20,high-creativity,-0.6683573339719913,-0.2614295440923594,-0.439552820090813,1.7704772471204102,1.5383236415540085,-0.40817658848931887
21,high-creativity,-1.5461594283644207,-1.412608282596273,0.22137993167219927,-0.5229189711940311,0.6852472946595105,-0.21362073469189483
25,high-creativity,0.9576244101905567,0.9154861910390482,-0.6596724542573363,-1.9550740494799759,-0.3998088485967009,-0.04133381779236072
26,high-creativity,0.12576867431551125,1.1634442555525641,1.7602796337909696,-0.4534790030144204,-0.27516794506366216,0.2253416609691984
28,high-creativity,-0.7538839367495216,1.8573607543611435,-0.6130292141172815,0.8496055549969789,-1.3952684432225324,-1.7838722969112062
29,high-creativity,-1.169812961873434,0.10379207148603412,1.4685448525709988,1.164826087073151,0.6292252491187269,-0.13651022735126242
35,high-creativity,-0.4579572733655144,-0.9256729129841752,-1.2547064931951408,-0.5229189711940311,0.6852472946595105,-0.21362073469189483
37,high-creativity,-0.5230588851020116,0.25007631867475977,0.10797382557348711,2.398367250704901,0.035919554609368624,-0.5379091070910056
44,high-creativity,-0.3714719862419054,-1.8281499465388948,-0.7079697217497113,-0.9299217411870835,1.5990508853476852,-0.3951015686475473
46,high-creativity,2.3683640476942314,-1.3005217519672505,-0.6305539966237483,-2.3273740730832295,-0.03848295044905595,0.33779612504949247
49,high-creativity,-0.8846591606119403,0.972133140135864,0.17522569457683557,0.7453594142275307,-0.31599594703249057,-0.7366679955680504
50,high-creativity,-0.1487141415014208,0.1380409510912334,-0.2719166812176765,1.7579443934678172,-0.6097814360011571,0.5376647931173815
51,high-creativity,0.43621081848389404,0.05508110485929645,0.6659904139641277,1.0480815680511222,-0.29506718688851014,1.1742762976646755
