participant_id,condition,trial,map_id,explore_dur_mean,explore_dur_median,exploit_dur_mean,exploit_dur_median,pct_time_exploit,n_transitions,total_collected,time_to_first_resource,inter_resource_mean,collection_rate,path_length,coverage_entropy,heading_variability,patch_leaving_distance,levy_alpha
177,Clumpy,4,Clumpy_3,21.534,21.534,38.341,38.341,64.0351,1,766,1.683,0.0655085,12.7667,3786.8,5.86519,19.4539,26,1.62128
177,Clumpy,5,Clumpy_1,9.205,11.131,16.02,16.02,53.7088,4,768,2.587,0.0709739,12.8673,3804.01,6.00443,18.0335,32.7364,1.62419
178,Clumpy,1,Clumpy_1,14.775,14.775,30.283,30.283,50.6125,2,376,13.055,0.0793573,6.26646,3875.08,5.81455,19.1889,21.2132,1.61878
178,Clumpy,2,Clumpy_4,7.351,7.351,22.558,22.558,75.4221,3,633,0.442,0.0942263,10.5496,3653.51,5.45689,19.3687,7.41531,1.61992
178,Clumpy,3,Clumpy_4,36.651,36.651,23.199,23.199,38.7619,1,512,36.094,0.046771,8.53319,5664.86,6.47316,17.1103,,1.61642
178,Clumpy,4,Clumpy_2,9.6,9.6,40.517,40.517,67.8484,2,538,8.399,0.0947896,8.99906,3727.67,5.52612,17.634,25.9615,1.61259
178,Clumpy,5,Clumpy_1,15.6845,15.6845,14.224,14.224,47.5584,3,580,8.049,0.0892073,9.68377,5014.78,6.18146,13.5633,20.0998,1.62053
179,Clumpy,1,Clumpy_4,7.707,7.707,14.8253,13.019,74.2628,4,297,0.447,0.195142,4.94934,3794.11,5.24563,22.1221,58.5322,1.6181
179,Clumpy,2,Clumpy_1,10.5195,10.5195,19.373,19.373,64.8089,3,707,3.666,0.0789193,11.8229,3727.02,5.72643,20.3026,22.0227,1.62303
179,Clumpy,3,Clumpy_4,18.748,18.748,20.3625,20.3625,68.4765,2,647,0.076,0.0917252,10.8772,3679.64,5.64156,23.6759,1,1.62857
179,Clumpy,4,Clumpy_1,8.957,8.957,20.7795,20.7795,69.8788,3,718,12.97,0.064848,12.0711,3704.74,5.55986,22.4248,9,1.61987
179,Clumpy,5,Clumpy_4,9.896,9.896,20.049,20.049,66.9527,3,578,0.444,0.0814211,9.63205,3736.92,5.71111,21.2333,16.0898,1.61218
181,Clumpy,1,Clumpy_2,6.021,6.021,23.8895,23.8895,79.8699,3,679,6.334,0.079174,11.3138,3611.4,5.38969,25.0859,80.6226,1.61335
181,Clumpy,2,Clumpy_4,7.221,7.221,26.32,26.32,87.9371,2,571,0.439,0.0997912,9.51667,3579.55,4.93186,24.3618,1.41421,1.60929
181,Clumpy,3,Clumpy_3,3.71,3.71,26.13,26.13,87.567,3,987,1.74,0.0582556,16.5324,3570.66,5.33766,22.9233,23.0868,1.6363
181,Clumpy,4,Clumpy_1,8.03967,5.679,17.81,17.81,59.626,4,722,5.779,0.0547573,12.0776,3764.35,5.81476,21.2493,25.3842,1.6243
181,Clumpy,5,Clumpy_2,14.1905,14.1905,15.73,15.73,52.5727,3,608,18.918,0.0676442,10.1322,3755,5.92904,19.1396,18.1108,1.62555
183,Diffuse,1,Diffuse_1,59.791,59.791,,,0,0,118,0.008,0.512786,1.9665,3442.08,6.75011,11.8462,,1.33712
183,Diffuse,2,Diffuse_5,59.824,59.824,,,0,0,112,0.032,0.536865,1.86645,3447.17,6.6821,11.9703,,1.3331
183,Diffuse,3,Diffuse_4,59.807,59.807,,,0,0,142,0.002,0.424617,2.36643,4031.21,6.78254,12.199,,1.34641
183,Diffuse,4,Diffuse_5,59.806,59.806,,,0,0,125,0.041,0.478427,2.0833,3445.93,6.81214,8.32354,,1.34474
183,Diffuse,5,Diffuse_1,59.892,59.892,,,0,0,122,0.457,0.489471,2.03333,5218.64,6.65385,9.31953,,1.33861
184,Clumpy,1,Clumpy_4,11.9503,10.517,12.0085,12.0085,40.1166,4,333,0.449,0.179057,5.54991,3972.25,6.38872,21.2708,31.1083,1.60507
184,Clumpy,2,Clumpy_1,19.313,19.313,21.249,21.249,35.4889,2,361,3.877,0.0432639,6.01657,4001.09,6.442,21.1967,53,1.63131
184,Clumpy,3,Clumpy_3,12.5495,12.5495,17.367,17.367,58.0516,3,730,7.926,0.0673073,12.1663,3833.9,6.17304,19.1422,26.0192,1.63069
184,Clumpy,4,Clumpy_2,11.1915,11.1915,37.5,37.5,62.6221,2,652,14.912,0.0572335,10.8658,3784.34,6.07695,18.9665,4.12311,1.62373
184,Clumpy,5,Clumpy_3,15.25,15.25,29.383,29.383,49.0673,2,675,18.318,0.0426306,11.2496,3868.41,6.30385,17.044,39.8121,1.64137
185,Clumpy,1,Clumpy_3,59.883,59.883,,,0,0,236,39.238,0.0729362,3.93327,4134.38,6.44228,8.38369,,1.64764
185,Clumpy,2,Clumpy_5,13.092,13.092,16.8245,16.8245,56.2382,3,670,7.148,0.079,11.1667,3771.94,5.85247,17.786,12.0416,1.61417
185,Clumpy,3,Clumpy_4,12.585,12.585,23.5755,23.5755,78.9323,2,739,0.241,0.0804485,12.3523,3650.82,5.63,18.9385,5,1.6195
185,Clumpy,4,Clumpy_4,2.2705,2.2705,27.669,27.669,92.4164,3,779,0.448,0.0757558,12.9823,3537.49,5.20734,20.0456,48.3839,1.61667
185,Clumpy,5,Clumpy_2,10.492,10.492,19.3415,19.3415,64.8315,3,681,5.876,0.0790794,11.4114,3762.32,6.03882,16.6466,35,1.62144
186,Clumpy,1,Clumpy_4,6.50967,4.382,13.4483,16.348,67.3832,5,483,0.447,0.122066,8.04973,4244.99,5.28945,21.4985,36.1963,1.60182
186,Clumpy,2,Clumpy_3,9.32725,6.1225,5.64075,1.8665,37.6854,7,363,9.55,0.132381,6.05777,3852.43,5.26362,16.1003,8.15391,1.62423
186,Clumpy,3,Clumpy_3,8.299,8.299,51.59,51.59,86.1427,1,398,6.029,0.119584,6.63322,4293.7,4.70058,18.5396,,1.6166
186,Clumpy,4,Clumpy_4,8.353,3.901,11.0877,11.548,57.0334,5,299,3.665,0.213012,5.11916,3687.19,4.42682,17.8206,30.5414,1.59972
186,Clumpy,5,Clumpy_3,3.099,3.099,28.3775,28.3775,94.8224,2,377,6.712,0.123162,6.28291,3586.44,3.91597,27.0743,,1.61423
189,Clumpy,1,Clumpy_3,59.861,59.861,,,0,0,166,10.069,0.232079,2.76676,4172.42,6.94822,10.4252,,1.60523
189,Clumpy,2,Clumpy_3,59.774,59.774,,,0,0,40,7.446,0.308359,0.666678,4220.36,6.93354,11.0277,,1.64896
189,Clumpy,3,Clumpy_5,59.855,59.855,,,0,0,149,9.121,0.290561,2.48839,4192.97,6.97756,12.576,,1.60609
189,Clumpy,4,Clumpy_2,59.726,59.726,,,0,0,71,12.127,0.0205,1.18773,5332.44,6.77904,12.2093,,1.6518
189,Clumpy,5,Clumpy_4,59.861,59.861,,,0,0,86,0.446,0.473459,1.43329,4136.36,6.99303,12.9225,,1.60697
190,Clumpy,1,Clumpy_4,26.236,26.236,7.365,7.365,12.3084,2,291,0.449,0.189534,4.84992,3971.77,5.79027,12.7829,19,1.62723
190,Clumpy,2,Clumpy_3,7.79467,7.185,12.1497,6.92,60.9179,5,384,1.703,0.145616,6.4,3845.9,5.28944,14.3705,4.03553,1.60608
190,Clumpy,3,Clumpy_2,11.1,11.1,18.8185,18.8185,62.8992,3,435,14.439,0.10235,7.24988,3797.63,5.64618,11.2911,1,1.59868
190,Clumpy,4,Clumpy_1,7.6585,7.6585,21.542,21.542,73.7727,3,361,9.501,0.130883,6.17485,4882.14,5.20101,13.4007,12,1.6013
190,Clumpy,5,Clumpy_3,6.919,6.919,52.634,52.634,88.3818,1,382,8.051,0.128877,6.41058,3701.4,4.94582,14.6287,,1.6218
191,Clumpy,1,Clumpy_4,59.82,59.82,,,0,0,100,0.447,0.518606,1.66633,8286.81,7.01263,7.62801,,1.60379
191,Clumpy,2,Clumpy_1,26.587,26.587,6.711,6.711,11.2065,2,53,17.673,0.636673,0.88323,5841.13,6.33979,16.1041,42.1545,1.64312
191,Clumpy,3,Clumpy_4,13.5397,12.258,9.608,9.608,32.115,4,319,0.514,0.107616,5.3164,6298.81,6.2383,21.2807,47.5079,1.62903
191,Clumpy,4,Clumpy_3,21.873,21.873,14.158,14.158,24.4508,2,192,21.018,0.0627749,3.3104,10350.9,6.52679,16.3374,491.636,1.64085
191,Clumpy,5,Clumpy_4,23.216,23.216,34.721,34.721,59.9289,1,251,4.744,0.158378,4.32841,4869.05,5.50895,16.5406,7.07107,1.6042
192,Clumpy,1,Clumpy_3,8.6685,8.6685,21.265,21.265,71.0408,3,324,7.312,0.134248,5.39937,4517.46,5.64321,17.0503,76.4853,1.61637
192,Clumpy,2,Clumpy_2,59.781,59.781,,,0,0,172,16.231,0.236556,2.866,4684.4,6.59045,15.2066,,1.61827
192,Clumpy,3,Clumpy_5,21.6925,21.6925,16.514,16.514,27.5697,2,301,41.472,0.0597733,5.01625,6374.2,6.46992,15.302,22.4722,1.65491
192,Clumpy,4,Clumpy_1,40.983,40.983,18.918,18.918,31.5821,1,290,41.079,0.0652837,4.83229,4061.83,6.60341,14.2203,,1.62839
192,Clumpy,5,Clumpy_3,15.167,15.167,29.483,29.483,49.2887,2,354,29.4,0.0806884,5.8998,3898.22,6.14911,17.5513,40.8044,1.63372
193,Clumpy,1,Clumpy_1,13.2755,13.2755,33.299,33.299,55.6374,2,376,21.147,0.0832373,6.26594,5058.02,5.75904,15.9838,10.6301,1.63029
193,Clumpy,2,Clumpy_2,9.0255,9.0255,41.817,41.817,69.8487,2,509,6.547,0.0765413,8.48135,3729.37,5.28565,20.4048,47.0106,1.62227
193,Clumpy,3,Clumpy_1,5.211,4.85,22.1,22.1,73.8723,4,729,3.384,0.0670549,12.1721,4261.51,5.57928,18.2629,23.4231,1.62343
193,Clumpy,4,Clumpy_3,18.2925,18.2925,23.299,23.299,38.9069,2,441,23.802,0.0822341,7.34963,5132.6,6.43325,15.9354,46.2277,1.6354
193,Clumpy,5,Clumpy_4,18.7835,18.7835,22.25,22.25,37.1968,2,282,0.439,0.0838078,4.69992,5739.05,6.29245,19.8994,28,1.63124
194,Clumpy,1,Clumpy_1,7.877,7.877,44.058,44.058,73.6608,2,387,3.159,0.100127,6.44989,3823.67,5.22116,16.916,1.41421,1.63184
194,Clumpy,2,Clumpy_2,20.204,20.204,39.615,39.615,66.2248,1,506,20.29,0.0772356,8.43333,3722.79,5.5822,18.274,,1.61704
194,Clumpy,3,Clumpy_5,17.967,17.967,11.952,11.952,39.9479,3,557,16.706,0.0771547,9.30132,3922.62,6.23143,16.3733,1.41421,1.6261
194,Clumpy,4,Clumpy_1,14.8055,14.8055,15.1245,15.1245,50.5329,3,634,9.88,0.0787883,10.5665,3842.06,6.05502,17.4323,30.1496,1.64406
194,Clumpy,5,Clumpy_1,6.94367,4.513,13.004,12.848,65.1906,5,961,3.047,0.0592875,16.0172,3720.89,5.97428,17.4729,14.4764,1.62927
195,Diffuse,1,Diffuse_5,2.94433,2.293,7.0335,6.778,70.4913,11,106,0.039,0.570771,1.76664,3457.33,5.86031,17.4745,12.5062,1.35757
195,Diffuse,2,Diffuse_3,2.729,2.729,27.187,27.187,90.8778,3,91,0.12,0.654822,1.51662,3483.72,5.10756,18.7731,7.61577,1.34717
195,Diffuse,3,Diffuse_1,6.4875,6.4875,15.6133,7.558,78.3081,4,81,0.452,0.738113,1.34998,3489.07,5.01376,19.795,14.2426,1.34433
195,Diffuse,4,Diffuse_4,16.2277,12.9,5.6005,5.6005,18.7045,4,104,0.006,0.565117,1.7333,3450.48,5.5984,14.9276,3.5,1.33496
195,Diffuse,5,Diffuse_2,17.522,15.034,3.663,3.663,12.232,4,77,0.002,0.788789,1.28329,3467.62,5.38749,14.6996,5.5,1.32429
196,Clumpy,1,Clumpy_4,10.459,10.459,12.967,13.59,65.0312,4,815,0.45,0.0731585,13.5824,3708.68,5.96234,17.1444,9.01469,1.63051
196,Clumpy,2,Clumpy_4,7.636,7.636,22.265,22.265,74.4624,3,557,0.448,0.0983633,9.28318,3688.84,5.74994,18.5983,6.5,1.61859
196,Clumpy,3,Clumpy_1,3.43033,4.38,15.6987,16.204,82.0674,5,1084,1.615,0.0542157,18.8775,3427.55,5.54677,19.8191,21.4362,1.63493
196,Clumpy,4,Clumpy_5,19.7925,19.7925,20.116,20.116,33.6946,2,359,6.862,0.0569777,6.00475,3945.35,6.39019,16.8349,1.41421,1.63212
196,Clumpy,5,Clumpy_3,4.9975,4.9975,16.6013,16.818,83.2857,4,1060,1.777,0.0546289,17.6649,3574.61,5.51619,18.0144,18.9533,1.6365
197,Diffuse,1,Diffuse_3,58.87,58.87,0.999,0.999,1.66864,1,139,0.006,0.431514,2.31663,3441.9,6.63745,14.8906,13.0384,1.35682
197,Diffuse,2,Diffuse_2,59.801,59.801,,,0,0,129,0.02,0.46718,2.14946,3433.7,6.67604,16.5126,,1.34563
197,Diffuse,3,Diffuse_4,59.831,59.831,,,0,0,138,0.017,0.437723,2.29958,3438.4,6.7366,15.8174,,1.34847
197,Diffuse,4,Diffuse_1,59.829,59.829,,,0,0,128,0.453,0.464283,2.13308,3423.25,6.65963,20.1678,,1.34318
197,Diffuse,5,Diffuse_5,27.569,27.569,4.061,4.061,6.85991,2,125,1.069,0.467496,2.11067,3399.62,6.54372,18.5847,7,1.34257
198,Clumpy,1,Clumpy_1,16.9343,7.578,4.52,4.52,15.1062,4,41,12.521,0.0198,0.683288,4208.08,6.85771,29.2582,96.0208,1.64801
198,Clumpy,2,Clumpy_5,5.311,5.311,24.6455,24.6455,82.271,3,414,5.579,0.124615,6.91117,3776.51,5.41351,26.7658,98.4784,1.62647
198,Clumpy,3,Clumpy_4,5.778,5.778,18.823,18.823,86.694,2,566,2.248,0.0970268,13.0202,2671.59,5.34897,26.6573,94.0479,1.63047
198,Clumpy,4,Clumpy_5,3.913,3.913,23.902,23.902,85.9321,3,725,3.131,0.0704434,13.0127,3396.35,5.07437,26.0366,10.198,1.62982
198,Clumpy,5,Clumpy_2,5.5265,5.5265,22.2405,22.2405,80.0969,3,560,7.409,0.0838497,10.0826,3390.64,5.36711,25.5661,80.6226,1.62228
199,Clumpy,1,Clumpy_2,5.13333,4.666,22.2335,22.2335,74.2763,4,549,2.469,0.104625,9.14985,3700.15,5.47105,18.3633,36.0185,1.61695
199,Clumpy,2,Clumpy_3,16.4175,16.4175,13.4825,13.4825,45.092,3,562,22.7,0.0661319,9.36651,3946.02,6.38075,15.8766,33.2415,1.62353
