participant_id,condition,count_time,count_topic,count_typing,PC1,PC2,PC3
1,diffuse,6.0,7.0,6.0,5.485579123694617,2.9350381106698498,0.894632868597943
4,clumpy,4.0,12.0,2.0,7.940439935385674,-3.268805743268701,0.1975103318998237
5,diffuse,4.0,4.0,1.0,0.7778380072158226,-0.0876566391648701,-1.6938976082434316
10,diffuse,5.0,2.0,0.0,-0.7611939525315385,0.7833291536366376,-3.3888207261500005
11,diffuse,1.0,1.0,1.0,-3.127848899720388,-0.36597289697989666,-0.0604503805611607
13,diffuse,2.0,3.0,2.0,-0.7136954017930535,-0.09024035900845395,0.24912102630491773
14,clumpy,1.0,3.0,1.0,-1.3991791666095534,-1.3271470558761629,0.23593651202448312
15,clumpy,5.0,8.0,3.0,5.168584233980507,-0.10955072860846005,-0.38207893899102907
16,clumpy,3.0,2.0,4.0,-0.6446235078054556,2.290800948788622,0.81997246409321
18,diffuse,2.0,8.0,2.0,3.607978930984032,-2.4931757562491192,0.9900882577690271
25,clumpy,0.0,2.0,1.0,-2.7010748022549573,-1.419919141814505,0.7804189212519068
26,clumpy,6.0,8.0,4.0,5.854067998797007,1.127355968259249,-0.3688944247105952
39,clumpy,3.0,4.0,4.0,1.0840462253053786,1.3296267898923555,1.1163593566788539
40,clumpy,0.0,0.0,2.0,-4.1818215396392775,0.20480254856299474,1.189892398466943
41,clumpy,3.0,5.0,2.0,1.4525351004077676,-0.4780553525182447,-0.1471679366296843
43,diffuse,2.0,2.0,3.0,-1.3301072726219565,1.053894251920913,0.8067879498127757
44,diffuse,0.0,2.0,2.0,-2.4531518065284432,-0.7563716103332714,1.4862792910525866
48,diffuse,3.0,0.0,1.0,-3.1170622280958318,1.261332513241187,-1.5939955378944737
50,clumpy,2.0,2.0,2.0,-1.5780302683484706,0.3903467204396791,0.10092758001209567
53,diffuse,6.0,6.0,3.0,3.8774752699596586,1.4249825956742816,-1.3711416870969189
54,diffuse,2.0,4.0,2.0,0.15063946476236456,-0.570827438456587,0.39731447259773955
56,clumpy,5.0,9.0,3.0,6.032919100535924,-0.5901378080565931,-0.23388549269820724
57,clumpy,1.0,1.0,0.0,-3.375771895446902,-1.0295204284611303,-0.7663107503618407
59,clumpy,4.0,3.0,4.0,0.6572721278399474,2.3835730347269637,0.2754900548657866
61,diffuse,2.0,3.0,3.0,-0.4657724060665389,0.5733071724727796,0.9549813961055977
62,diffuse,2.0,4.0,1.0,-0.09728353096414999,-1.2343749699378206,-0.30854589720294046
63,diffuse,4.0,11.0,1.0,6.8281820731037435,-3.4517661953018015,-0.6565434841936781
71,clumpy,2.0,4.0,2.0,0.15063946476236456,-0.570827438456587,0.39731447259773955
72,clumpy,3.0,6.0,1.0,2.06894697123667,-1.6221899634476113,-0.7048348601375423
74,diffuse,2.0,6.0,2.0,1.8793091978731988,-1.5320015973528531,0.6937013651833833
75,clumpy,2.0,1.0,1.0,-2.6902881306304014,0.2073862684065786,-0.7531262360814062
80,diffuse,2.0,3.0,4.0,-0.21784941034002525,1.2368547039540132,1.6608417659062777
82,clumpy,3.0,1.0,1.0,-2.2527273615404146,0.780745433793054,-1.4458020916016519
90,clumpy,3.0,1.0,0.0,-2.5006503572669287,0.11719790231182037,-2.151662461402332
94,diffuse,3.0,3.0,2.0,-0.2761346327030667,0.4831188063780214,-0.44355482921532796
95,diffuse,1.0,4.0,2.0,-0.2869213043276222,-1.1441866038430624,1.089990328117985
96,diffuse,5.0,7.0,2.0,4.0563263716985745,-0.29251118064156056,-1.236132755084531
97,diffuse,4.0,6.0,6.0,3.746122718959228,2.268906859345032,2.1317911333456125
100,diffuse,1.0,1.0,0.0,-3.375771895446902,-1.0295204284611303,-0.7663107503618407
103,diffuse,1.0,1.0,1.0,-3.127848899720388,-0.36597289697989666,-0.0604503805611607
104,diffuse,5.0,5.0,4.0,2.8235026300407693,1.995758041217173,-0.12079890806881455
105,clumpy,3.0,3.0,3.0,-0.028211636976552157,1.1466663378592548,0.26230554058535205
106,clumpy,2.0,4.0,2.0,0.15063946476236456,-0.570827438456587,0.39731447259773955
108,clumpy,2.0,0.0,1.0,-3.5546229971858185,0.6879733478547116,-0.901319682374228
109,diffuse,0.0,1.0,0.0,-3.8133326645368886,-1.6028795938476055,-0.07363489484159519
111,clumpy,4.0,4.0,3.0,1.2736839986688508,1.239438423797597,-0.2821768686420716
113,diffuse,2.0,3.0,2.0,-0.7136954017930535,-0.09024035900845395,0.24912102630491773
118,clumpy,2.0,3.0,1.0,-0.9616183975195671,-0.7537878904896875,-0.4567393434957623
121,clumpy,2.0,4.0,3.0,0.3985624604888782,0.09272009302464657,1.1031748423984196
122,diffuse,5.0,5.0,1.0,2.0797336428612265,0.005115446773471977,-2.2383800174708544
124,diffuse,1.0,1.0,1.0,-3.127848899720388,-0.36597289697989666,-0.0604503805611607
126,diffuse,3.0,4.0,3.0,0.8361232295788641,0.6660792584111219,0.4104989868781739
128,diffuse,2.0,0.0,2.0,-3.3067000014593044,1.351520879335945,-0.19545931257354798
129,clumpy,5.0,5.0,3.0,2.5755796343142547,1.3322105097359394,-0.8266592778694946
131,diffuse,0.0,1.0,2.0,-3.3174866730838604,-0.2757845308851383,1.3380858447597648
132,clumpy,3.0,4.0,2.0,0.5882002338523504,0.002531726929888345,-0.29536138292250613
133,diffuse,1.0,1.0,1.0,-3.127848899720388,-0.36597289697989666,-0.0604503805611607
136,clumpy,2.0,5.0,2.0,1.0149743313177817,-1.05141451790472,0.5455079188905614
137,diffuse,0.0,1.0,3.0,-3.0695636773573467,0.38776300059609525,2.043946214560445
138,clumpy,1.0,0.0,1.0,-3.9921837662758053,0.11461418246823629,-0.20864382685398253
140,diffuse,4.0,2.0,3.0,-0.4549857344419834,2.2006125826938634,-0.5785637612277152
141,clumpy,3.0,4.0,4.0,1.0840462253053786,1.3296267898923555,1.1163593566788539
142,clumpy,1.0,2.0,1.0,-2.2635140331649706,-0.8465599764280297,0.08774306573166124
143,clumpy,3.0,9.0,2.0,4.909874566629435,-2.4004036703107765,0.44560584854160323
145,diffuse,3.0,3.0,1.0,-0.5240576284295804,-0.18042872510321217,-1.149415199016008
146,clumpy,2.0,3.0,1.0,-0.9616183975195671,-0.7537878904896875,-0.4567393434957623
147,diffuse,5.0,4.0,4.0,1.9591677634853522,2.4763451206653055,-0.2689923543616368
149,diffuse,0.0,2.0,1.0,-2.7010748022549573,-1.419919141814505,0.7804189212519068
150,clumpy,1.0,2.0,1.0,-2.2635140331649706,-0.8465599764280297,0.08774306573166124
154,diffuse,1.0,2.0,1.0,-2.2635140331649706,-0.8465599764280297,0.08774306573166124
155,clumpy,1.0,3.0,3.0,-0.9033331751565257,-5.199291369550885e-05,1.6476572516258432
156,diffuse,3.0,4.0,3.0,0.8361232295788641,0.6660792584111219,0.4104989868781739
157,diffuse,1.0,2.0,2.0,-2.0155910374384565,-0.18301244494679614,0.7936034355323414
161,clumpy,4.0,4.0,3.0,1.2736839986688508,1.239438423797597,-0.2821768686420716
162,diffuse,3.0,8.0,2.0,4.045539700074018,-1.919816590862644,0.2974124022487814
164,clumpy,3.0,2.0,2.0,-1.1404694992584838,0.9637058858261545,-0.59174827550815
165,clumpy,2.0,2.0,0.0,-2.0738762598014984,-0.936748342522788,-1.3107931595892643
166,diffuse,2.0,4.0,2.0,0.15063946476236456,-0.570827438456587,0.39731447259773955
168,clumpy,2.0,3.0,1.0,-0.9616183975195671,-0.7537878904896875,-0.4567393434957623
169,clumpy,5.0,4.0,4.0,1.9591677634853522,2.4763451206653055,-0.2689923543616368
170,clumpy,4.0,5.0,4.0,2.3859418609507816,1.4223988758306978,0.5718769474514307
171,clumpy,0.0,2.0,0.0,-2.9489977979814714,-2.0834666732957388,0.0745585514512267
