measure,feature,n,rho,p,p_FDR,fdr_significant
Verbal Fluency - Number of Answers,var_step_distance,100,0.13231653817115216,0.18941619306880725,0.6156026274736236,False
Curiosity - Score,n_unique_pages,107,-0.1269139178575401,0.19268997027847234,0.6159761344967558,False
AUT Belt - Originality,n_searches,107,0.1249512882852844,0.1997173818561381,0.6196351655618164,False
AQT Pencil - Number of Answers,mean_dwell,105,-0.124221535565232,0.20675045799224231,0.6196351655618164,False
AUT Belt - Originality,forward_flow,100,0.12497271046367414,0.21539054089070375,0.6196351655618164,False
AUT Broom - Number of Answers,bh_score,107,0.11950946334250503,0.22016286012755754,0.6196351655618164,False
AQT Pillow - Originality,var_dwell,104,-0.12010276797341299,0.2245909136788348,0.6196351655618164,False
AUT Broom - Originality,n_unique_pages,107,0.11819860378510198,0.2253015772829442,0.6196351655618164,False
Curiosity - Score,n_pages,107,-0.11817057740041084,0.22541235792807637,0.6196351655618164,False
AUT Belt - Originality,var_step_distance,100,0.12114674115610792,0.229881459628943,0.6196351655618164,False
AQT Pillow - Number of Answers,char_path_length,107,0.11651681233345244,0.2320172354256726,0.6196351655618164,False
AQT Complexity Score,path_breadth,107,-0.1164619997287295,0.23223844253713766,0.6196351655618164,False
AQT Pencil - Originality,n_pages,107,-0.11546526126853694,0.2362867319103,0.6196351655618164,False
Curiosity - Score,clustering,107,-0.11523164416963758,0.237242648724107,0.6196351655618164,False
Verbal Fluency - Forward Flow,n_unique_pages,107,0.11443699704444019,0.24051434222846338,0.6196351655618164,False
Curiosity - Score,mean_dwell,105,0.11495954401988748,0.24290362136935545,0.6196351655618164,False
AUT Belt - Number of Answers,mean_dwell,105,-0.11418116257632015,0.24612992691071117,0.6196351655618164,False
AQT Complexity Score,clustering,107,-0.11303388545622917,0.2463674074268526,0.6196351655618164,False
AUT Broom - Number of Answers,search_vs_link_ratio,105,-0.11188587073240343,0.2558155046512572,0.6196351655618164,False
